head;relation;tail;head_rank;tail_rank
2765464;_hyponym;2765692;1;1
2795169;_hypernym;4531098;1;1
8156685;_member_meronym;11259950;1;1
5249636;_hyponym;5301908;1;1
11672400;_hyponym;11988893;1;1
4364545;_hypernym;3739693;MISS_101;MISS_180
8199025;_member_of_domain_topic;10125786;1;1
10717461;_hypernym;7846;1;1
738747;_hypernym;983824;1;1
11501381;_hyponym;11502497;1;1
5239808;_has_part;5241827;1;1
1336587;_derivationally_related_form;5645597;1;1
3273913;_hypernym;4070727;1;1
8172877;_hypernym;7951464;1;1
6115701;_derivationally_related_form;10127689;1;1
15388;_hyponym;1317916;1;1
2244956;_hyponym;2302817;2;29
69879;_hyponym;91968;1;1
12983961;_hypernym;13024012;1;1
686890;_derivationally_related_form;1010118;1;1
10165109;_hyponym;10305802;1;1
2761685;_derivationally_related_form;378479;MISS_349;MISS_249
11556187;_member_holonym;12410381;1;1
45145;_hypernym;47945;1;1
12960211;_member_meronym;12960378;1;1
9876892;_hypernym;10307234;1;1
9453008;_instance_hyponym;9341465;1;1
6742772;_hypernym;6742426;1;1
11747468;_hyponym;11748501;1;1
6780309;_hypernym;6780069;1;1
946755;_derivationally_related_form;6807198;1;1
5941210;_derivationally_related_form;701040;1;1
6151693;_derivationally_related_form;10620758;1;1
894552;_hyponym;896832;1;1
500280;_part_of;499924;1;1
1453969;_hypernym;1453433;1;1
11555413;_hyponym;12039743;1;1
11666854;_member_holonym;11665781;80;1
939818;_derivationally_related_form;1707925;1;1
12969670;_hypernym;12969131;1;1
4348184;_hyponym;4347754;1;1
8457976;_hyponym;8459252;1;1
11555413;_hyponym;12617140;1;1
550771;_hyponym;100543;MISS_313;MISS_64
11607071;_hypernym;8103777;1;1
1740969;_derivationally_related_form;918383;1;1
12724201;_member_meronym;12725940;1;1
14866889;_hyponym;12167075;1;1
1589125;_member_meronym;1589286;1;1
8766988;_has_part;8769439;1;436
126264;_hyponym;446695;1;1
56688;_hypernym;53913;1;1
3327234;_part_of;8514865;1;1
4616059;_hyponym;4662951;1;1
12761123;_hypernym;11567411;1;1
12566331;_member_holonym;12564840;1;1
591115;_derivationally_related_form;5805475;1;1
8991491;_part_of;8991182;1;1
13954253;_derivationally_related_form;43765;1;4
14322699;_hyponym;14324274;1;1
1346003;_derivationally_related_form;3848348;1;1
12242123;_hypernym;13112664;1;1
2248744;_hypernym;1759182;1;1
671351;_member_of_domain_topic;1443871;1;1
10064229;_synset_domain_region_of;8871007;1;1
10682038;_derivationally_related_form;1916634;1;1
824066;_hypernym;826509;28;5
1946277;_hypernym;1945845;1;1
4956110;_derivationally_related_form;565592;1;1
4372171;_hypernym;3575958;1;1
24264;_hyponym;4630689;1;1
14980579;_hypernym;14686352;MISS_57;MISS_192
12239100;_member_holonym;12226322;1;1
154778;_hypernym;153263;1;1
11804604;_member_meronym;11813309;1;1
7047011;_synset_domain_topic_of;7020895;1;1
11612349;_hypernym;11608250;1;1
11805837;_hypernym;11573660;1;1
2621901;_derivationally_related_form;5008746;1;1
7060167;_hypernym;7059255;1;1
6934132;_hypernym;6930934;1;1
8969291;_derivationally_related_form;3024420;1;1
5301908;_derivationally_related_form;941990;1;1
9615807;_instance_hyponym;11128394;1;1
4370456;_part_of;4370774;1;1
4576211;_has_part;2764779;1;1
2426799;_derivationally_related_form;13944914;1;1
11704791;_has_part;11705052;1;1
2625016;_derivationally_related_form;50693;1;1
10251779;_hypernym;7846;1;1
983824;_hyponym;1043231;1;1
4657876;_derivationally_related_form;1076793;1;1
4294426;_hypernym;2688443;1;1
2150948;_derivationally_related_form;10576071;1;1
5133287;_hypernym;5129201;1;1
7846;_hyponym;10191001;1;1
1944217;_member_holonym;1952162;1;1
12393527;_member_holonym;12391745;1;1
937656;_hypernym;933420;1;1
8633957;_instance_hyponym;8879388;1;1
1691057;_hyponym;1747203;1;1
12605019;_member_holonym;11668952;1;1
12744850;_member_holonym;12744656;1;1
900070;_derivationally_related_form;836236;1;1
2435853;_hyponym;2436645;1;1
1400575;_hypernym;8103777;1;1
6394564;_part_of;6536853;1;1
1239064;_derivationally_related_form;2677567;1;1
1504437;_hyponym;2018638;1;1
1801088;_hyponym;1802159;1;1
3386011;_has_part;2811936;1;1
7809368;_hyponym;7818029;1;1
13951984;_hypernym;13951444;1;1
6963951;_hyponym;6966310;1;1
10034201;_hyponym;10712690;1;1
10707804;_hyponym;10616204;1;1
10214637;_derivationally_related_form;1632411;1;1
2496816;_hypernym;2539334;1;1
8655464;_instance_hyponym;9078231;1;1
5614657;_hypernym;5614175;1;1
1498989;_member_holonym;1498822;1;1
13800801;_derivationally_related_form;171127;1;1
5138488;_hyponym;5168261;1;1
9974648;_hyponym;10460806;1;1
12202936;_hypernym;13104059;1;1
11567411;_hyponym;12762245;1;1
2617689;_member_holonym;2617029;1;1
3740161;_hyponym;4451473;1;1
11529603;_member_meronym;11536778;1;1
265386;_derivationally_related_form;260622;1;1
39021;_hypernym;37396;1;1
4907269;_hypernym;4616059;1;1
4162998;_hyponym;4299699;1;1
2390470;_derivationally_related_form;10363913;1;1
1332730;_hyponym;1233387;1;1
828901;_hypernym;962447;1;1
136152;_hypernym;134780;1;1
9211735;_instance_hypernym;9403734;1;1
6806469;_hyponym;6696483;1;1
9891470;_derivationally_related_form;2951358;1;1
12611479;_member_holonym;12611243;1;1
24649;_derivationally_related_form;3395745;1;1
2275372;_member_holonym;2274516;1;1
2145814;_hyponym;588703;1;1
13112664;_hyponym;13143758;1;1
343730;_synset_domain_topic_of;528667;1;1
2984699;_hyponym;3924407;1;1
1647803;_member_holonym;1639369;1;1
11534677;_hyponym;13140535;1;1
4071393;_hypernym;3763968;3;16
12501745;_member_meronym;12547658;1;1
5616786;_hyponym;5660268;1;1
1759182;_hyponym;2181013;1;1
14498096;_derivationally_related_form;1269379;1;1
2244956;_also_see;2294436;MISS_29;MISS_75
9851165;_derivationally_related_form;2669081;1;1
3650173;_derivationally_related_form;1262113;1;1
173338;_hyponym;176137;1;1
2529515;_member_meronym;2531820;1;1
14050559;_synset_domain_region_of;8723006;1;1
2621395;_derivationally_related_form;7092356;1;1
11199727;_instance_hypernym;10650162;1;1
1567133;_hypernym;1563128;1;1
960734;_derivationally_related_form;13845239;1;1
13999663;_hypernym;13998576;1;1
568430;_hyponym;568813;1;1
12892226;_member_meronym;12904148;1;1
13481883;_derivationally_related_form;2762806;1;1
256961;_hypernym;256746;1;1
9165613;_has_part;9483129;1;1
8392137;_instance_hyponym;8043499;1;1
3673767;_derivationally_related_form;1270784;1;1
633864;_derivationally_related_form;785962;1;1
3315023;_hyponym;3997027;1;1
2267826;_hypernym;2263378;1;1
2134589;_member_meronym;2136623;26;122
8337324;_hyponym;8138466;1;1
411547;_hyponym;408852;1;1
6350918;_hypernym;6350274;1;1
8740875;_has_part;8745901;1;1
6084469;_member_of_domain_topic;506377;1;1
5505679;_hypernym;5462315;1;1
5537806;_hypernym;5220461;1;1
7242324;_hypernym;7241205;1;1
212173;_derivationally_related_form;4683600;1;1
10405694;_member_holonym;13837840;1;1
534480;_hypernym;342028;1;1
8279298;_hypernym;8284481;1;1
3579982;_has_part;4170515;1;1
2400760;_derivationally_related_form;10760340;1;1
9460888;_instance_hypernym;9403734;1;1
8199025;_member_of_domain_topic;10055847;1;1
238867;_verb_group;239321;1;1
3131038;_part_of;3058726;1;1
6845599;_member_of_domain_usage;3189995;1;1
2726715;_derivationally_related_form;14365356;1;1
2657219;_hyponym;2658979;1;1
455599;_hypernym;407535;1;1
433458;_hyponym;447540;1;1
4999401;_hyponym;5000342;1;1
13478525;_derivationally_related_form;229280;1;1
1271428;_instance_hypernym;956485;1;1
1741864;_synset_domain_topic_of;916464;1;1
24720;_hyponym;14425974;1;1
2767308;_derivationally_related_form;1253060;1;1
7409592;_derivationally_related_form;2685665;1;1
8787878;_part_of;8701942;1;1
347652;_derivationally_related_form;1898592;1;1
8558488;_instance_hyponym;8894456;1;1
8574314;_instance_hyponym;8978821;1;1
4826235;_hypernym;4846770;1;1
2332606;_member_holonym;2331479;1;1
471711;_derivationally_related_form;223720;1;1
1353405;_derivationally_related_form;14705718;1;1
471613;_member_of_domain_topic;6486161;1;1
12717644;_member_holonym;12717524;1;1
13148019;_member_meronym;13148384;1;1
2440705;_member_meronym;2447591;1;1
14019441;_part_of;1460108;1;1
9190918;_hypernym;7347;1;1
12995724;_member_meronym;13082077;1;1
12464278;_member_meronym;12464476;1;1
6115476;_hypernym;6000400;1;1
493703;_derivationally_related_form;353992;2;3
9147046;_has_part;4378842;1;1
1862557;_hyponym;2454119;1;1
12195965;_member_meronym;12196129;1;1
12099342;_hypernym;13118707;1;1
9277686;_part_of;9466280;1;1
2259829;_hypernym;761713;1;1
9192280;_part_of;9055015;1;1
12112008;_hypernym;12102133;1;1
3631445;_hypernym;3106110;1;1
1507175;_hyponym;1556368;1;1
10765305;_synset_domain_region_of;8860123;1;1
6883725;_hypernym;4416901;1;1
8199025;_member_meronym;10305635;1;1
12373361;_hypernym;11565385;1;1
588888;_derivationally_related_form;5805475;1;1
1012712;_derivationally_related_form;739662;1;1
704388;_derivationally_related_form;5784242;1;1
628491;_hyponym;739082;1;1
1187620;_synset_domain_topic_of;8441203;1;1
2595902;_member_holonym;2593863;1;1
8920924;_has_part;8926543;1;1
12219875;_member_meronym;12220019;1;1
7296428;_hyponym;7416441;1;1
2059393;_member_holonym;2058933;1;1
10173895;_hypernym;7846;MISS_1922;3
14749794;_hyponym;14750122;1;1
464513;_also_see;1430111;1;1
746084;_hypernym;1027508;1;1
670261;_hyponym;726300;1;1
6756831;_derivationally_related_form;835506;1;1
7490713;_hyponym;7491038;1;1
14857897;_hyponym;14858099;1;1
15022389;_hypernym;15022171;1;1
5613962;_hypernym;5617107;1;1
11627028;_hypernym;11554175;1;1
13583724;_derivationally_related_form;2468793;1;1
1432517;_hyponym;2637337;1;1
3091374;_hyponym;4402057;1;1
2559752;_hypernym;2452885;1;1
12735009;_member_holonym;12734722;1;1
13879126;_hyponym;13881381;1;1
9283623;_hypernym;9225146;1;1
5060476;_hypernym;5060189;1;1
12469936;_member_holonym;12423565;1;1
755500;_derivationally_related_form;838524;1;1
243918;_member_of_domain_topic;2192818;1;1
1811736;_derivationally_related_form;7528807;1;1
8391696;_part_of;8391387;1;1
4182514;_part_of;4497962;1;1
10216403;_derivationally_related_form;2593354;1;1
11551211;_hypernym;8220891;1;1
396703;_hypernym;394813;1;1
14580897;_hyponym;14696793;1;1
1605119;_member_meronym;1616970;1;1
4500060;_hyponym;4270147;1;1
1461328;_derivationally_related_form;378985;1;1
13463656;_derivationally_related_form;569318;1;1
2674912;_hypernym;2707683;1;1
7666521;_part_of;2324850;1;1
9912765;_synset_domain_region_of;8798382;1;1
2093390;_derivationally_related_form;7439284;1;1
243918;_member_of_domain_topic;321652;1;1
5513807;_has_part;5457469;1;1
8285896;_synset_domain_region_of;8860123;1;1
1959927;_synset_domain_topic_of;450335;1;1
8294696;_hyponym;8177030;1;1
8083599;_member_of_domain_topic;1033903;1;186
10387196;_derivationally_related_form;4091839;1;1
238720;_derivationally_related_form;13443787;1;1
1745722;_derivationally_related_form;4004767;1;1
940214;_hypernym;126264;1;1
10396462;_hypernym;7846;1;1
8950035;_instance_hypernym;8524735;1;1
10013927;_hyponym;9787534;1;1
12192373;_member_meronym;12193458;1;1
3948459;_hyponym;4086273;1;1
2216547;_hypernym;1759182;1;1
1828405;_derivationally_related_form;7486922;1;1
69166;_hypernym;67999;1;1
12445848;_hypernym;11561228;1;1
5035961;_derivationally_related_form;559102;1;1
5511618;_part_of;5216365;1;1
1503061;_hyponym;1517565;1;1
13907415;_hyponym;13877918;1;1
2427726;_derivationally_related_form;10381214;1;1
12166424;_hyponym;12166793;1;1
9224325;_part_of;9201301;1;1
8344301;_hypernym;8342039;1;1
1835103;_derivationally_related_form;9355850;1;1
2525866;_member_meronym;2527145;1;1
13149296;_hypernym;13100677;1;1
2067941;_member_meronym;2068408;1;1
6181584;_hyponym;6174404;1;1
1458302;_part_of;5457469;1;1
1229938;_hyponym;1230283;1;1
141806;_derivationally_related_form;920336;1;1
1028748;_derivationally_related_form;10344774;1;1
8199025;_member_of_domain_topic;3919096;1;1
715074;_hypernym;352826;1;1
12201761;_member_holonym;12194776;1;1
1255057;_derivationally_related_form;691050;1;1
253761;_hyponym;251463;1;1
2121234;_member_meronym;2125311;3;3
10351874;_derivationally_related_form;761713;1;1
6286395;_hyponym;6287620;1;1
1487311;_hyponym;1487718;1;1
271263;_hyponym;272878;1;1
2217695;_hypernym;2217266;1;1
12052630;_member_holonym;12039743;1;1
2671421;_hypernym;3081021;1;1
11689197;_hypernym;13135832;1;1
9101318;_instance_hypernym;8695539;1;1
10597234;_hyponym;9756195;1;1
1881180;_hyponym;1882081;1;1
1998019;_member_meronym;1998183;1;1
3467984;_hyponym;3343853;1;1
6387980;_hyponym;6390512;1;1
1567678;_hypernym;1567133;1;1
8610305;_part_of;9108164;1;1
1538469;_hypernym;510364;1;1
4182890;_hypernym;3895585;1;1
8775784;_instance_hypernym;8574314;1;1
11886380;_member_holonym;11867525;1;1
975902;_hyponym;976365;1;1
147862;_derivationally_related_form;1284908;1;1
6873252;_has_part;6873571;1;1
5509889;_has_part;5528060;1;1
1004072;_hypernym;383606;1;1
5835747;_hypernym;5833840;1;1
10878672;_instance_hypernym;10625860;1;1
1713635;_member_meronym;1713764;1;1
11600372;_hyponym;11601918;1;1
2462580;_derivationally_related_form;10760340;1;1
10227985;_derivationally_related_form;6161718;1;1
2327200;_hyponym;1358191;1;1
7237758;_derivationally_related_form;842538;1;1
1107705;_hypernym;1105639;1;1
11014450;_instance_hypernym;10453533;1;1
3054901;_hyponym;3396654;1;1
31921;_hyponym;13791389;19;138
6890846;_derivationally_related_form;2141973;1;1
1830798;_hypernym;1762528;1;1
1596479;_hypernym;1507175;1;1
11629501;_member_meronym;11641788;1;1
11357332;_instance_hypernym;10453533;1;1
13205482;_member_meronym;13210827;1;1
9468604;_instance_hyponym;9422294;1;1
5867413;_hyponym;5868477;1;1
3472232;_derivationally_related_form;99721;1;1
2958343;_hyponym;3770679;1;1
608808;_derivationally_related_form;5833840;1;1
2435689;_member_holonym;2398732;1;1
2009433;_hyponym;2014165;15;3
13907415;_derivationally_related_form;1280014;1;1
6930934;_hypernym;6904171;1;1
815686;_derivationally_related_form;6746005;1;1
332154;_hypernym;397576;1;1
1637166;_derivationally_related_form;5786372;1;1
11758628;_member_holonym;11754188;1;1
824292;_derivationally_related_form;6713187;1;1
4762355;_hypernym;4760771;1;1
562935;_derivationally_related_form;2557638;1;1
13107891;_derivationally_related_form;329495;1;1
9320985;_part_of;9138935;1;1
12707781;_hyponym;12711596;1;1
8312559;_synset_domain_topic_of;6226057;MISS_227;MISS_33
6568978;_derivationally_related_form;1747717;1;1
8627919;_hyponym;8676349;1;1
6252138;_derivationally_related_form;1070102;1;1
1751021;_hypernym;1675963;1;1
1617192;_hyponym;1697816;1;1
872886;_derivationally_related_form;9774167;1;1
14052403;_hyponym;14059928;1;1
2512053;_derivationally_related_form;1140794;1;1
774056;_derivationally_related_form;9896826;1;1
462092;_derivationally_related_form;89027;1;1
10295819;_hypernym;7846;1;1
1366718;_derivationally_related_form;7527352;1;1
9373716;_instance_hypernym;9411430;12;1
10049017;_instance_hyponym;10927424;1;1
4074329;_hypernym;3129123;1;1
262249;_derivationally_related_form;1466543;7;4
5328867;_hyponym;5532795;1;1
338071;_hyponym;338736;1;1
5536370;_hypernym;5303402;1;1
10100761;_hyponym;9931165;1;1
9338712;_part_of;9303647;1;1
8951077;_instance_hypernym;8524735;1;1
1705257;_derivationally_related_form;7258664;1;1
11350705;_instance_hypernym;10084635;1;1
1921591;_hypernym;1921204;1;1
2149297;_hypernym;1864707;1;1
2422663;_hyponym;2510337;2;3
657016;_derivationally_related_form;1051801;1;1
9729530;_member_holonym;8847694;1;1
11579418;_hyponym;12670558;1;1
2447793;_derivationally_related_form;1139830;1;1
6005518;_hypernym;6004685;1;1
12957467;_hypernym;13167078;1;1
2213690;_hyponym;269423;1;1
1984695;_hypernym;1982650;1;1
3588414;_derivationally_related_form;946105;1;1
632236;_derivationally_related_form;5893356;1;1
7891726;_hyponym;7900406;1;1
1566386;_hypernym;1504437;1;1
2645007;_derivationally_related_form;33615;1;1
195617;_verb_group;195342;1;1
2202928;_derivationally_related_form;818466;1;1
2578604;_hypernym;1432517;1;1
13100677;_hyponym;12668517;1;1
1654863;_hypernym;1639765;1;1
12637729;_member_meronym;12641007;1;1
4356056;_has_part;3976268;1;1
10770059;_hyponym;10092299;1;1
15026716;_hyponym;14730553;1;1
9044862;_has_part;9105821;1;1
1865197;_also_see;643250;1;1
10069645;_hyponym;10751265;1;1
6055946;_member_of_domain_topic;13503673;1;1
7083441;_derivationally_related_form;863579;1;1
12400261;_member_meronym;12400924;1;1
1663401;_hyponym;1665541;MISS_128;MISS_35
9629752;_derivationally_related_form;1845720;1;1
5296253;_part_of;5461816;1;1
712225;_hyponym;712833;1;1
10034614;_derivationally_related_form;1170052;1;1
10461424;_hyponym;10226556;1;1
10576223;_hypernym;7846;1;1
502415;_hyponym;502952;1;1
9026780;_part_of;9023321;1;1
173338;_hyponym;197423;1;1
1179707;_derivationally_related_form;2543181;1;1
291873;_derivationally_related_form;8646188;1;1
8096301;_hypernym;8149781;2;3
5477686;_has_part;5477305;1;1
14299637;_hyponym;13513540;MISS_16;MISS_348
8792548;_member_of_domain_region;8011523;1;1
10294602;_hyponym;9862183;1;1
1012712;_derivationally_related_form;657260;1;1
223720;_derivationally_related_form;1327301;1;1
3738241;_hypernym;4377057;1;1
2842303;_hypernym;4565963;1;1
12806015;_member_holonym;12804866;1;1
1771535;_hyponym;1830042;1;1
8640739;_hyponym;8678615;1;1
5523269;_hyponym;5526384;1;1
1654271;_derivationally_related_form;768921;1;1
2271544;_also_see;646413;1;2
306314;_derivationally_related_form;5623181;MISS_137;MISS_270
12611479;_hypernym;11556857;1;1
90253;_derivationally_related_form;10511069;1;1
9133500;_instance_hypernym;8524735;1;1
11502102;_derivationally_related_form;216216;MISS_298;MISS_309
1572978;_hypernym;1212572;1;1
2466111;_also_see;1222884;1;1
