,head,relation,tail,head_rank,tail_rank,head_rank_2,tail_rank_2,rank_difference_tail,have_inv
42,968962,_hypernym,968211,1.0,1.0,40827.0,1530.0,1529.0,1
43,1696849,_member_meronym,1697837,1.0,1.0,24.0,35.0,34.0,1
44,6643408,_hypernym,6797169,1.0,1.0,26.0,9.0,8.0,1
45,6596978,_hypernym,6593296,1.0,1.0,11.0,18.0,17.0,1
46,7572957,_hypernym,7566340,1.0,1.0,6887.0,191.0,190.0,1
48,7091902,_hypernym,6290637,1.0,1.0,11043.0,20925.0,20924.0,1
49,2425228,_hypernym,2424695,4.0,2.0,6.0,5.0,3.0,0
52,62582,_hypernym,89324,1.0,1.0,22.0,42.0,41.0,1
53,1455592,_member_meronym,1455986,1.0,1.0,31.0,128.0,127.0,1
54,7191777,_hypernym,7191279,1.0,1.0,147.0,38.0,37.0,1
55,2514988,_member_meronym,2515214,1.0,1.0,5.0,51.0,50.0,1
57,630634,_hypernym,624738,1.0,1.0,40870.0,1180.0,1179.0,1
59,7466557,_hypernym,7470671,1.0,1.0,41.0,61.0,60.0,1
60,1733213,_hypernym,1714208,1.0,1.0,118.0,23.0,22.0,1
63,13726074,_has_part,13725726,1.0,1.0,7.0,6.0,5.0,1
65,9989045,_hypernym,10129825,1.0,1.0,40737.0,686.0,685.0,1
67,2802544,_hypernym,3120491,1.0,1.0,357.0,8926.0,8925.0,1
68,10128909,_hypernym,9606527,1.0,1.0,40781.0,2710.0,2709.0,1
73,13060190,_hypernym,12992868,1.0,1.0,231.0,4.0,3.0,1
74,376400,_hypernym,376063,1.0,1.0,56.0,21.0,20.0,1
76,8900535,_has_part,8903220,1.0,1.0,20.0,603.0,602.0,1
77,353992,_derivationally_related_form,493703,4.0,12.0,4.0,3.0,-9.0,0
78,43902,_synset_domain_topic_of,471613,1.0,1.0,40.0,1.0,0.0,1
80,1951276,_hypernym,1953810,1.0,1.0,171.0,13.0,12.0,1
81,5154517,_hypernym,4723816,1.0,1.0,885.0,14.0,13.0,1
82,2490004,_hypernym,2488834,1.0,1.0,40789.0,2970.0,2969.0,1
83,2040505,_hypernym,2021795,1.0,1.0,41.0,6.0,5.0,1
86,740342,_synset_domain_topic_of,8441203,1.0,1.0,151.0,1.0,0.0,1
89,7434102,_hypernym,7433973,1.0,1.0,29441.0,18113.0,18112.0,1
90,2156546,_hypernym,2609764,1.0,1.0,75.0,12.0,11.0,1
91,8919949,_member_meronym,9697070,1.0,1.0,8907.0,1732.0,1731.0,1
92,11020721,_instance_hypernym,10624540,1.0,1.0,38.0,27.0,26.0,1
93,8806897,_has_part,8807554,7535.0,36021.0,28.0,1356.0,-34665.0,0
94,2208118,_also_see,2311387,10254.0,4325.0,2932.0,979.0,-3346.0,0
96,11746776,_member_meronym,12539306,1.0,1.0,13.0,287.0,286.0,1
98,118733,_hypernym,116687,1.0,1.0,44.0,20.0,19.0,1
102,3547054,_hypernym,4191595,1.0,1.0,287.0,23.0,22.0,1
105,12658846,_has_part,7770180,1.0,1.0,1499.0,172.0,171.0,1
108,14907122,_hypernym,15047313,1.0,1.0,1676.0,86.0,85.0,1
109,8780881,_member_of_domain_region,10595361,1.0,1.0,1.0,16.0,15.0,1
110,179567,_hypernym,173338,1.0,1.0,641.0,18.0,17.0,1
112,5027529,_hypernym,5026843,1.0,1.0,15877.0,15413.0,15412.0,1
113,2456493,_hypernym,1544692,1.0,1.0,31635.0,19303.0,19302.0,1
114,12409016,_hypernym,11567411,1.0,1.0,5.0,2.0,1.0,1
116,11338796,_instance_hypernym,9798811,1.0,1.0,5.0,1.0,0.0,1
118,216038,_hypernym,209943,1.0,1.0,5.0,2.0,1.0,1
119,4433585,_hypernym,2886599,1.0,1.0,2437.0,1058.0,1057.0,1
122,4606014,_hypernym,3368141,1.0,1.0,113.0,80.0,79.0,1
123,11460281,_hypernym,11459538,1.0,1.0,25560.0,11809.0,11808.0,1
124,8780018,_instance_hypernym,8691669,1.0,1.0,44.0,2.0,1.0,1
129,9606009,_hypernym,7846,1.0,1.0,415.0,82.0,81.0,1
130,1143409,_hypernym,1143040,1.0,1.0,40561.0,30618.0,30617.0,1
131,3171356,_hypernym,4341686,1.0,1.0,496.0,6.0,5.0,1
133,10109443,_hypernym,10341660,1.0,1.0,40599.0,32192.0,32191.0,1
134,4229959,_hypernym,3101986,1.0,1.0,12384.0,2984.0,2983.0,1
136,6972311,_hypernym,6972090,1.0,1.0,40795.0,39182.0,39181.0,1
137,369864,_derivationally_related_form,5015463,1.0,1.0,1.0,3.0,2.0,0
138,1643092,_member_meronym,1643255,1.0,1.0,16.0,19.0,18.0,1
140,4962240,_hypernym,4961691,1.0,1.0,40577.0,1689.0,1688.0,1
141,6845599,_member_of_domain_usage,3587715,1.0,1.0,1.0,30.0,29.0,1
143,6268784,_hypernym,6268096,1.0,1.0,2.0,1.0,0.0,1
145,2446645,_hypernym,2445715,1.0,1.0,40715.0,20019.0,20018.0,1
147,11915658,_hypernym,11915214,1.0,1.0,157.0,7.0,6.0,1
148,15256714,_hypernym,5867413,1.0,1.0,79.0,17.0,16.0,1
149,7127252,_hypernym,7109847,1.0,1.0,78.0,12.0,11.0,1
150,1473990,_hypernym,8103777,1.0,1.0,9.0,2.0,1.0,1
152,560529,_hypernym,558630,1.0,1.0,10.0,7.0,6.0,1
153,11911591,_member_meronym,12000609,1.0,1.0,1.0,4.0,3.0,1
154,12169526,_member_meronym,12192373,1.0,1.0,2.0,26.0,25.0,1
155,538571,_synset_domain_topic_of,6084469,1.0,1.0,408.0,3.0,2.0,1
156,5533948,_hypernym,5248181,1.0,1.0,15.0,11.0,10.0,1
157,1382273,_hypernym,1352059,1.0,1.0,2.0,1.0,0.0,1
158,8860123,_member_of_domain_usage,1252566,1.0,1.0,94.0,33878.0,33877.0,1
159,10299875,_hypernym,9624559,1.0,1.0,5340.0,1765.0,1764.0,1
160,2795169,_hypernym,4531098,1.0,1.0,182.0,47.0,46.0,1
161,8156685,_member_meronym,11259950,1.0,1.0,4.0,5.0,4.0,1
162,10717461,_hypernym,7846,1.0,1.0,16664.0,64.0,63.0,1
163,4364545,_hypernym,3739693,3715.0,1215.0,2170.0,1669.0,454.0,0
165,738747,_hypernym,983824,1.0,1.0,13.0,1.0,0.0,1
166,5239808,_has_part,5241827,1.0,1.0,783.0,118.0,117.0,1
168,8172877,_hypernym,7951464,1.0,1.0,40737.0,589.0,588.0,1
169,3273913,_hypernym,4070727,1.0,1.0,610.0,1530.0,1529.0,1
171,2761685,_derivationally_related_form,378479,52.0,7.0,15.0,5.0,-2.0,0
172,12983961,_hypernym,13024012,1.0,1.0,40673.0,21193.0,21192.0,1
173,9876892,_hypernym,10307234,1.0,1.0,12.0,4.0,3.0,1
174,6742772,_hypernym,6742426,1.0,1.0,10637.0,11399.0,11398.0,1
175,45145,_hypernym,47945,1.0,1.0,40567.0,1806.0,1805.0,1
176,12960211,_member_meronym,12960378,1.0,1.0,30895.0,40660.0,40659.0,1
179,6780309,_hypernym,6780069,1.0,1.0,14.0,25.0,24.0,1
181,1453969,_hypernym,1453433,1.0,1.0,1534.0,1861.0,1860.0,1
184,11607071,_hypernym,8103777,1.0,1.0,29.0,2.0,1.0,1
186,8766988,_has_part,8769439,3.0,423.0,4.0,358.0,-65.0,0
188,1589125,_member_meronym,1589286,1.0,1.0,10.0,131.0,130.0,1
189,56688,_hypernym,53913,1.0,1.0,7.0,1.0,0.0,1
192,13954253,_derivationally_related_form,43765,1.0,2.0,1.0,1.0,-1.0,0
194,2248744,_hypernym,1759182,1.0,1.0,29.0,3.0,2.0,1
195,12242123,_hypernym,13112664,1.0,1.0,914.0,10.0,9.0,1
199,1946277,_hypernym,1945845,1.0,1.0,72.0,34.0,33.0,1
200,4372171,_hypernym,3575958,1.0,1.0,81.0,70.0,69.0,1
201,154778,_hypernym,153263,1.0,1.0,9.0,1.0,0.0,1
202,14980579,_hypernym,14686352,37900.0,34709.0,34361.0,29619.0,-5090.0,0
203,7047011,_synset_domain_topic_of,7020895,1.0,1.0,71.0,1.0,0.0,1
206,11805837,_hypernym,11573660,1.0,1.0,4.0,1.0,0.0,1
207,11612349,_hypernym,11608250,1.0,1.0,40347.0,1073.0,1072.0,1
209,7060167,_hypernym,7059255,1.0,1.0,622.0,69.0,68.0,1
211,6934132,_hypernym,6930934,1.0,1.0,5309.0,12854.0,12853.0,1
212,10251779,_hypernym,7846,1.0,1.0,1326.0,83.0,82.0,1
214,4576211,_has_part,2764779,1.0,1.0,6858.0,39571.0,39570.0,1
216,11704791,_has_part,11705052,1.0,1.0,22118.0,40933.0,40932.0,1
217,4294426,_hypernym,2688443,1.0,1.0,33.0,9.0,8.0,1
220,937656,_hypernym,933420,1.0,1.0,30.0,9.0,8.0,1
221,5133287,_hypernym,5129201,1.0,1.0,17532.0,8069.0,8068.0,1
223,1400575,_hypernym,8103777,1.0,1.0,377.0,14.0,13.0,1
226,3386011,_has_part,2811936,1.0,1.0,33.0,38.0,37.0,1
227,13951984,_hypernym,13951444,1.0,1.0,1289.0,2152.0,2151.0,1
228,2496816,_hypernym,2539334,1.0,1.0,1066.0,1028.0,1027.0,1
229,5614657,_hypernym,5614175,1.0,1.0,33820.0,30053.0,30052.0,1
231,12202936,_hypernym,13104059,1.0,1.0,1480.0,566.0,565.0,1
233,11529603,_member_meronym,11536778,1.0,1.0,2.0,2.0,1.0,1
235,4907269,_hypernym,4616059,1.0,1.0,772.0,37.0,36.0,1
236,39021,_hypernym,37396,1.0,1.0,751.0,19.0,18.0,1
237,828901,_hypernym,962447,1.0,1.0,229.0,20.0,19.0,1
238,136152,_hypernym,134780,1.0,1.0,40867.0,2464.0,2463.0,1
240,9211735,_instance_hypernym,9403734,1.0,1.0,75.0,2.0,1.0,1
242,4071393,_hypernym,3763968,47.0,2.0,2.0,1.0,-1.0,0
243,343730,_synset_domain_topic_of,528667,1.0,1.0,9149.0,1357.0,1356.0,1
244,12501745,_member_meronym,12547658,1.0,1.0,1.0,11.0,10.0,1
248,2244956,_also_see,2294436,182.0,383.0,2588.0,1935.0,1552.0,0
249,2529515,_member_meronym,2531820,1.0,1.0,1.0,6.0,5.0,1
252,1567133,_hypernym,1563128,1.0,1.0,183.0,26.0,25.0,1
253,11199727,_instance_hypernym,10650162,1.0,1.0,7738.0,138.0,137.0,1
254,13999663,_hypernym,13998576,1.0,1.0,3.0,1.0,0.0,1
257,12892226,_member_meronym,12904148,1.0,1.0,3.0,61.0,60.0,1
258,256961,_hypernym,256746,1.0,1.0,6.0,8.0,7.0,1
259,9165613,_has_part,9483129,1.0,1.0,1.0,2.0,1.0,1
261,8740875,_has_part,8745901,1.0,1.0,18.0,174.0,173.0,1
262,2267826,_hypernym,2263378,1.0,1.0,413.0,61.0,60.0,1
263,2134589,_member_meronym,2136623,8.0,202.0,4.0,64.0,-138.0,0
264,6350918,_hypernym,6350274,1.0,1.0,40641.0,14913.0,14912.0,1
266,5537806,_hypernym,5220461,1.0,1.0,886.0,213.0,212.0,1
267,5505679,_hypernym,5462315,1.0,1.0,304.0,41.0,40.0,1
268,7242324,_hypernym,7241205,1.0,1.0,975.0,1466.0,1465.0,1
270,534480,_hypernym,342028,1.0,1.0,3268.0,2443.0,2442.0,1
271,8279298,_hypernym,8284481,1.0,1.0,417.0,39.0,38.0,1
272,3579982,_has_part,4170515,1.0,1.0,63.0,388.0,387.0,1
273,9460888,_instance_hypernym,9403734,1.0,1.0,198.0,2.0,1.0,1
276,6845599,_member_of_domain_usage,3189995,1.0,1.0,1.0,5.0,4.0,1
279,455599,_hypernym,407535,1.0,1.0,2708.0,8265.0,8264.0,1
280,1271428,_instance_hypernym,956485,1.0,1.0,4.0,1.0,0.0,1
285,4826235,_hypernym,4846770,1.0,1.0,7.0,2.0,1.0,1
287,493703,_derivationally_related_form,353992,12.0,4.0,3.0,4.0,0.0,0
288,2440705,_member_meronym,2447591,1.0,1.0,3.0,34.0,33.0,1
289,13148019,_member_meronym,13148384,1.0,1.0,54.0,212.0,211.0,1
290,9190918,_hypernym,7347,1.0,1.0,2731.0,4213.0,4212.0,1
291,12995724,_member_meronym,13082077,1.0,1.0,227.0,222.0,221.0,1
292,12464278,_member_meronym,12464476,1.0,1.0,43.0,43.0,42.0,1
293,6115476,_hypernym,6000400,1.0,1.0,252.0,439.0,438.0,1
294,9147046,_has_part,4378842,1.0,1.0,357.0,6642.0,6641.0,1
296,12195965,_member_meronym,12196129,1.0,1.0,852.0,487.0,486.0,1
297,12099342,_hypernym,13118707,1.0,1.0,838.0,14.0,13.0,1
298,12112008,_hypernym,12102133,1.0,1.0,16.0,1.0,0.0,1
299,3631445,_hypernym,3106110,1.0,1.0,86.0,38.0,37.0,1
302,6883725,_hypernym,4416901,1.0,1.0,32408.0,40685.0,40684.0,1
303,8199025,_member_meronym,10305635,1.0,1.0,262.0,20224.0,20223.0,1
306,10173895,_hypernym,7846,18458.0,153.0,14273.0,136.0,-17.0,0
307,8920924,_has_part,8926543,1.0,1.0,1.0,6.0,5.0,1
308,1187620,_synset_domain_topic_of,8441203,1.0,1.0,20.0,1.0,0.0,1
309,12219875,_member_meronym,12220019,1.0,1.0,196.0,238.0,237.0,1
311,746084,_hypernym,1027508,1.0,1.0,28559.0,23718.0,23717.0,1
313,15022389,_hypernym,15022171,1.0,1.0,23.0,29.0,28.0,1
314,5613962,_hypernym,5617107,1.0,1.0,22060.0,24006.0,24005.0,1
316,11627028,_hypernym,11554175,1.0,1.0,8.0,1.0,0.0,1
317,2559752,_hypernym,2452885,1.0,1.0,30.0,15.0,14.0,1
318,9283623,_hypernym,9225146,1.0,1.0,24.0,13.0,12.0,1
320,5060476,_hypernym,5060189,1.0,1.0,11.0,3.0,2.0,1
324,11551211,_hypernym,8220891,1.0,1.0,2.0,3.0,2.0,1
325,396703,_hypernym,394813,1.0,1.0,4.0,1.0,0.0,1
326,1605119,_member_meronym,1616970,1.0,1.0,4.0,138.0,137.0,1
329,2674912,_hypernym,2707683,1.0,1.0,40804.0,2900.0,2899.0,1
330,5513807,_has_part,5457469,1.0,1.0,30.0,119.0,118.0,1
334,940214,_hypernym,126264,1.0,1.0,4717.0,140.0,139.0,1
336,10396462,_hypernym,7846,1.0,1.0,40485.0,425.0,424.0,1
337,8950035,_instance_hypernym,8524735,1.0,1.0,271.0,1.0,0.0,1
339,12192373,_member_meronym,12193458,1.0,1.0,17.0,92.0,91.0,1
341,2216547,_hypernym,1759182,1.0,1.0,666.0,7.0,6.0,1
342,12445848,_hypernym,11561228,1.0,1.0,27.0,46.0,45.0,1
345,13149296,_hypernym,13100677,1.0,1.0,450.0,9.0,8.0,1
347,8344301,_hypernym,8342039,1.0,1.0,1331.0,103.0,102.0,1
348,2525866,_member_meronym,2527145,1.0,1.0,13.0,64.0,63.0,1
349,2067941,_member_meronym,2068408,1.0,1.0,4.0,9.0,8.0,1
352,715074,_hypernym,352826,1.0,1.0,39.0,2.0,1.0,1
355,2671421,_hypernym,3081021,1.0,1.0,21.0,12.0,11.0,1
356,2121234,_member_meronym,2125311,1.0,4.0,1.0,2.0,-2.0,0
357,2217695,_hypernym,2217266,1.0,1.0,516.0,407.0,406.0,1
358,9101318,_instance_hypernym,8695539,1.0,1.0,278.0,7.0,6.0,1
359,11689197,_hypernym,13135832,1.0,1.0,137.0,12.0,11.0,1
360,1998019,_member_meronym,1998183,1.0,1.0,11.0,116.0,115.0,1
361,8775784,_instance_hypernym,8574314,1.0,1.0,926.0,6.0,5.0,1
362,1567678,_hypernym,1567133,1.0,1.0,3.0,1.0,0.0,1
363,1538469,_hypernym,510364,1.0,1.0,11.0,9.0,8.0,1
365,4182890,_hypernym,3895585,1.0,1.0,3966.0,3072.0,3071.0,1
366,5835747,_hypernym,5833840,1.0,1.0,208.0,32.0,31.0,1
367,6873252,_has_part,6873571,1.0,1.0,791.0,1153.0,1152.0,1
368,5509889,_has_part,5528060,1.0,1.0,11.0,66.0,65.0,1
370,1004072,_hypernym,383606,1.0,1.0,271.0,26.0,25.0,1
371,10878672,_instance_hypernym,10625860,1.0,1.0,40652.0,15901.0,15900.0,1
372,1713635,_member_meronym,1713764,1.0,1.0,10.0,33.0,32.0,1
375,11014450,_instance_hypernym,10453533,1.0,1.0,40597.0,44.0,43.0,1
376,1107705,_hypernym,1105639,1.0,1.0,40659.0,842.0,841.0,1
379,1830798,_hypernym,1762528,1.0,1.0,40881.0,5573.0,5572.0,1
381,11629501,_member_meronym,11641788,1.0,1.0,1.0,7.0,6.0,1
382,11357332,_instance_hypernym,10453533,1.0,1.0,40797.0,44.0,43.0,1
383,13205482,_member_meronym,13210827,1.0,1.0,3.0,33.0,32.0,1
388,6930934,_hypernym,6904171,1.0,1.0,28121.0,2838.0,2837.0,1
389,332154,_hypernym,397576,1.0,1.0,1.0,2.0,1.0,1
395,8312559,_synset_domain_topic_of,6226057,31764.0,11329.0,36669.0,10633.0,-696.0,0
398,1751021,_hypernym,1675963,1.0,1.0,17.0,4.0,3.0,1
401,10295819,_hypernym,7846,1.0,1.0,20255.0,205.0,204.0,1
405,9373716,_instance_hypernym,9411430,4.0,1.0,1.0,1.0,0.0,0
406,4074329,_hypernym,3129123,1.0,1.0,21.0,8.0,7.0,1
407,8951077,_instance_hypernym,8524735,1.0,1.0,226.0,1.0,0.0,1
408,5536370,_hypernym,5303402,1.0,1.0,403.0,23.0,22.0,1
410,2149297,_hypernym,1864707,1.0,1.0,27.0,3.0,2.0,1
411,11350705,_instance_hypernym,10084635,1.0,1.0,6.0,1.0,0.0,1
412,1921591,_hypernym,1921204,1.0,1.0,40889.0,2276.0,2275.0,1
416,12957467,_hypernym,13167078,1.0,1.0,2.0,1.0,0.0,1
417,6005518,_hypernym,6004685,1.0,1.0,36.0,3.0,2.0,1
418,1984695,_hypernym,1982650,1.0,1.0,18.0,7.0,6.0,1
423,2578604,_hypernym,1432517,1.0,1.0,3.0,2.0,1.0,1
425,1654863,_hypernym,1639765,1.0,1.0,40582.0,748.0,747.0,1
428,4356056,_has_part,3976268,1.0,1.0,27584.0,26171.0,26170.0,1
432,12400261,_member_meronym,12400924,1.0,1.0,21.0,32.0,31.0,1
433,10576223,_hypernym,7846,1.0,1.0,40444.0,425.0,424.0,1
438,8096301,_hypernym,8149781,31.0,9.0,29.0,4.0,-5.0,0
439,5477686,_has_part,5477305,1.0,1.0,7137.0,79.0,78.0,1
441,8792548,_member_of_domain_region,8011523,1.0,1.0,2.0,7.0,6.0,1
442,2842303,_hypernym,4565963,1.0,1.0,17144.0,23797.0,23796.0,1
443,3738241,_hypernym,4377057,1.0,1.0,523.0,47.0,46.0,1
445,306314,_derivationally_related_form,5623181,942.0,958.0,799.0,1115.0,157.0,0
446,9133500,_instance_hypernym,8524735,1.0,1.0,409.0,3.0,2.0,1
447,2271544,_also_see,646413,1.0,2.0,1.0,1.0,-1.0,1
448,12611479,_hypernym,11556857,1.0,1.0,17.0,2.0,1.0,1
451,11502102,_derivationally_related_form,216216,212.0,80.0,33.0,37.0,-43.0,0
452,1572978,_hypernym,1212572,1.0,1.0,3.0,3.0,2.0,1
454,9113762,_instance_hypernym,8524735,1.0,1.0,231.0,1.0,0.0,1
457,13023783,_member_meronym,13031690,1.0,1.0,134.0,553.0,552.0,1
458,11915899,_hypernym,11915214,1.0,1.0,171.0,142.0,141.0,1
459,331950,_hypernym,191142,3.0,1.0,349.0,431.0,430.0,1
460,8860123,_member_of_domain_region,10513509,1.0,3683.0,1.0,1687.0,-1996.0,0
462,3069213,_hypernym,3149951,1.0,1.0,1892.0,7496.0,7495.0,1
463,3791053,_hypernym,4576211,1.0,1.0,43.0,8.0,7.0,1
464,2470451,_member_meronym,2489288,1.0,1.0,3.0,30.0,29.0,1
465,5370125,_hypernym,5418717,1.0,1.0,40683.0,585.0,584.0,1
466,5399847,_synset_domain_topic_of,1471682,3362.0,123.0,4444.0,201.0,78.0,0
467,2552737,_hypernym,1429349,1.0,1.0,5.0,1.0,0.0,1
468,5204004,_synset_domain_topic_of,8199025,1.0,1.0,65.0,1.0,0.0,1
469,2036982,_member_meronym,2037110,1.0,1.0,24.0,193.0,192.0,1
471,10518194,_hypernym,10435988,1.0,1.0,267.0,78.0,77.0,1
473,2538216,_hypernym,2537085,1.0,1.0,2.0,1.0,0.0,1
474,6154464,_hypernym,6153846,1.0,1.0,3.0,6.0,5.0,1
475,2198996,_hypernym,1762525,1.0,1.0,3.0,1.0,0.0,1
478,5496990,_has_part,5499379,1.0,1.0,3.0,19.0,18.0,1
479,7605474,_hypernym,7597365,1.0,1.0,40810.0,1671.0,1670.0,1
480,1357831,_hypernym,1296462,1.0,1.0,9.0,2.0,1.0,1
481,10942144,_instance_hypernym,10020890,1.0,1.0,40679.0,158.0,157.0,1
482,7152463,_hypernym,7152259,1.0,1.0,15.0,56.0,55.0,1
483,573932,_hypernym,126264,1.0,1.0,286.0,6.0,5.0,1
485,8904392,_instance_hypernym,8524735,1.0,1.0,355.0,2.0,1.0,1
486,14786479,_hypernym,21939,1.0,1.0,69.0,10.0,9.0,1
488,1688589,_hypernym,1687665,1.0,1.0,15.0,5.0,4.0,1
489,10460033,_hypernym,10053808,1.0,1.0,2277.0,401.0,400.0,1
490,2566528,_derivationally_related_form,68901,17956.0,25575.0,3468.0,8507.0,-17068.0,0
492,229026,_hypernym,109660,1.0,1.0,477.0,52.0,51.0,1
494,6755776,_hypernym,6755568,1.0,1.0,7648.0,10444.0,10443.0,1
496,14560360,_hypernym,13920835,1.0,1.0,1615.0,19.0,18.0,1
501,12201166,_hypernym,11575425,1.0,1.0,3.0,1.0,0.0,1
502,6148148,_hypernym,6143154,1.0,1.0,519.0,2176.0,2175.0,1
503,1877204,_hypernym,1850315,1.0,1.0,372.0,21.0,20.0,1
505,11654124,_member_meronym,11654438,1.0,1.0,10.0,18.0,17.0,1
506,11195619,_instance_hypernym,10301261,1.0,1.0,3.0,3.0,2.0,1
508,4169437,_has_part,4593866,1.0,1.0,436.0,110.0,109.0,1
510,1926311,_also_see,2075049,20775.0,28072.0,3734.0,8224.0,-19848.0,0
512,8765460,_instance_hypernym,8633957,1.0,1.0,5.0,1.0,0.0,1
513,2541875,_hypernym,1432517,2.0,1.0,50.0,2.0,1.0,0
514,6364329,_hypernym,6362953,1.0,1.0,355.0,26.0,25.0,1
517,8923755,_instance_hypernym,8524735,1.0,1.0,61.0,1.0,0.0,1
519,8173515,_member_meronym,8761244,1.0,1.0,1.0,3.0,2.0,1
521,2454119,_member_meronym,2455310,1.0,1.0,15.0,81.0,80.0,1
523,897026,_hypernym,894552,1.0,1.0,7.0,6.0,5.0,1
525,336718,_hypernym,126264,1.0,1.0,2034.0,59.0,58.0,1
526,5520479,_hypernym,5264756,1.0,1.0,111.0,89.0,88.0,1
529,180770,_hypernym,180413,1.0,1.0,7.0,7.0,6.0,1
532,4151581,_hypernym,4014297,1.0,1.0,378.0,15.0,14.0,1
533,8023843,_synset_domain_topic_of,759694,2.0,1.0,178.0,2.0,1.0,1
535,5055503,_synset_domain_topic_of,17222,1.0,1.0,36113.0,495.0,494.0,1
536,14501545,_hypernym,14500908,1.0,1.0,40633.0,37112.0,37111.0,1
537,3318983,_hypernym,4014297,1.0,1.0,10768.0,222.0,221.0,1
538,832626,_has_part,659349,1.0,1.0,1.0,2.0,1.0,1
542,6877849,_hypernym,6877078,1.0,1.0,36726.0,25836.0,25835.0,1
543,378042,_hypernym,140123,1.0,1.0,1446.0,246.0,245.0,1
544,2661252,_hypernym,2666239,1.0,1.0,9.0,2.0,1.0,1
545,12217211,_member_meronym,12217586,1.0,1.0,39194.0,40635.0,40634.0,1
546,3776460,_hypernym,4467099,1.0,1.0,9460.0,9721.0,9720.0,1
548,6915601,_hypernym,6906439,1.0,1.0,40678.0,770.0,769.0,1
550,12213635,_member_meronym,12216028,1.0,1.0,1.0,53.0,52.0,1
551,2330582,_member_meronym,2350845,1.0,1.0,1.0,14.0,13.0,1
552,10985440,_instance_hypernym,9805475,1.0,1.0,17.0,3.0,2.0,1
553,1989869,_hypernym,1974773,1.0,1.0,62.0,4.0,3.0,1
555,11675096,_hypernym,11675842,1.0,1.0,5.0,1.0,0.0,1
556,6845599,_member_of_domain_usage,3739136,1.0,1.0,1.0,24.0,23.0,1
557,8816236,_member_meronym,9750891,1.0,1.0,1.0,3.0,2.0,1
560,7186148,_hypernym,7185325,1.0,1.0,4.0,1.0,0.0,1
561,2230782,_member_meronym,2231930,18.0,65.0,34.0,163.0,98.0,0
562,12514592,_hypernym,13112664,1.0,1.0,935.0,9.0,8.0,1
564,10067968,_hypernym,10215623,1.0,1.0,9948.0,12332.0,12331.0,1
566,2559862,_hypernym,2554730,1.0,1.0,494.0,11.0,10.0,1
568,1786419,_hypernym,1785971,1.0,1.0,40745.0,16182.0,16181.0,1
570,4103918,_synset_domain_topic_of,2691156,1.0,1.0,25.0,3.0,2.0,1
571,8920924,_has_part,8925287,1.0,1.0,21.0,47.0,46.0,1
572,1208597,_hypernym,1207609,1.0,1.0,341.0,10.0,9.0,1
573,13722757,_has_part,13722522,1.0,1.0,3.0,4.0,3.0,1
575,1418037,_synset_domain_topic_of,243918,1.0,1.0,9.0,1.0,0.0,1
576,2501101,_hypernym,1342529,1.0,1.0,21.0,6.0,5.0,1
577,1385017,_hypernym,1384687,1.0,1.0,6473.0,8995.0,8994.0,1
579,15278281,_hypernym,15286249,1.0,1.0,40245.0,36306.0,36305.0,1
580,2464626,_has_part,2463205,1.0,1.0,502.0,159.0,158.0,1
