head;relation;tail;head_rank;tail_rank
1951276;_hypernym;1953810;MISS_1361;1426
1057034;_derivationally_related_form;1253379;1;1
376400;_hypernym;376063;MISS_233;210
740342;_synset_domain_topic_of;8441203;177;1
7434102;_hypernym;7433973;MISS_22;MISS_1691
7359599;_derivationally_related_form;555447;1;1
8919949;_member_meronym;9697070;MISS_62;MISS_11
11020721;_instance_hypernym;10624540;MISS_402;30
8806897;_has_part;8807554;199;MISS_804
5673908;_derivationally_related_form;1978003;1;1
964569;_derivationally_related_form;1118449;1;1
2208118;_also_see;2311387;MISS_373;MISS_4
11746776;_member_meronym;12539306;3;52
2156546;_hypernym;2609764;MISS_165;1445
118733;_hypernym;116687;37;9
2156546;_derivationally_related_form;7335716;1;1
6083243;_derivationally_related_form;10806222;1;1
6389753;_derivationally_related_form;1745377;1;1
802946;_derivationally_related_form;1141841;1;1
4903813;_derivationally_related_form;1763829;1;1
12658846;_has_part;7770180;MISS_97;MISS_54
1410223;_verb_group;1236164;1;1
779360;_derivationally_related_form;15274695;2;9
14907122;_hypernym;15047313;MISS_231;126
1257145;_derivationally_related_form;7488875;1;1
1322854;_derivationally_related_form;223983;1;1
3547054;_hypernym;4191595;MISS_591;MISS_2064
8780881;_member_of_domain_region;10595361;2;11
5027529;_hypernym;5026843;MISS_107;MISS_881
2456493;_hypernym;1544692;MISS_243;MISS_1453
12409016;_hypernym;11567411;5;1
11338796;_instance_hypernym;9798811;30;5
1716882;_derivationally_related_form;7007945;1;1
353992;_derivationally_related_form;493703;3;2
4433585;_hypernym;2886599;MISS_141;MISS_363
179567;_hypernym;173338;MISS_2558;7
15231765;_instance_hypernym;15113229;1;1
474017;_derivationally_related_form;7357679;1;1
11460281;_hypernym;11459538;MISS_125;MISS_507
8780018;_instance_hypernym;8691669;497;5
216038;_hypernym;209943;8;1
13902048;_derivationally_related_form;1742244;1;1
1170243;_derivationally_related_form;14447908;1;1
974367;_derivationally_related_form;9795124;1;1
4606014;_hypernym;3368141;MISS_51;MISS_2084
6693198;_derivationally_related_form;860620;1;1
1143409;_hypernym;1143040;MISS_424;MISS_1
3171356;_hypernym;4341686;MISS_992;24
10109443;_hypernym;10341660;MISS_749;MISS_1
1687569;_derivationally_related_form;5844105;1;1
8541288;_derivationally_related_form;195342;1;1
6972311;_hypernym;6972090;MISS_4;MISS_1
645493;_derivationally_related_form;4784142;1;1
1643092;_member_meronym;1643255;MISS_72;MISS_80
2641035;_derivationally_related_form;1062817;1;1
4962240;_hypernym;4961691;MISS_108;MISS_1
6845599;_member_of_domain_usage;3587715;1;404
9606009;_hypernym;7846;45;2
4229959;_hypernym;3101986;MISS_121;MISS_1674
2001858;_derivationally_related_form;319939;1;1
2446645;_hypernym;2445715;MISS_114;MISS_1
6268784;_hypernym;6268096;3;1
11915658;_hypernym;11915214;112;23
15256714;_hypernym;5867413;123;38
2761834;_derivationally_related_form;1042725;1;1
1473990;_hypernym;8103777;34;1
2081178;_derivationally_related_form;8617963;1;1
4868748;_hypernym;4826235;7;17
1463963;_derivationally_related_form;5075602;1;1
12169526;_member_meronym;12192373;4;32
11911591;_member_meronym;12000609;1;127
7127252;_hypernym;7109847;35;2
5533948;_hypernym;5248181;5;4
538571;_synset_domain_topic_of;6084469;516;1
1382273;_hypernym;1352059;5;2
8860123;_member_of_domain_usage;1252566;6;MISS_971
8156685;_member_meronym;11259950;6;10
10717461;_hypernym;7846;MISS_3779;187
626428;_derivationally_related_form;10508710;1;1
4364545;_hypernym;3739693;MISS_147;MISS_880
4671394;_derivationally_related_form;724861;1;1
5239808;_has_part;5241827;MISS_25;MISS_104
4667406;_derivationally_related_form;1484083;1;1
8172877;_hypernym;7951464;MISS_1748;MISS_1
3273913;_hypernym;4070727;MISS_23;MISS_1036
2795169;_hypernym;4531098;MISS_273;1722
10299875;_hypernym;9624559;MISS_145;1170
1215851;_derivationally_related_form;3068181;1;1
12983961;_hypernym;13024012;MISS_157;MISS_1
738747;_hypernym;983824;18;1
45145;_hypernym;47945;MISS_263;MISS_1
12960211;_member_meronym;12960378;MISS_1;MISS_133
560529;_hypernym;558630;17;8
9876892;_hypernym;10307234;1;1
966869;_derivationally_related_form;2344568;1;1
7334490;_derivationally_related_form;478830;1;1
459114;_derivationally_related_form;7891726;1;1
10564660;_derivationally_related_form;6403969;1;1
12969670;_hypernym;12969131;1;1
1453969;_hypernym;1453433;MISS_60;MISS_1670
11607071;_hypernym;8103777;107;2
6780309;_hypernym;6780069;5;19
12724201;_member_meronym;12725940;1;1
1589125;_member_meronym;1589286;1;1
4821802;_derivationally_related_form;103696;1;1
1336587;_derivationally_related_form;5645597;1;1
6742772;_hypernym;6742426;MISS_41;MISS_2079
12761123;_hypernym;11567411;3;1
8766988;_has_part;8769439;2;545
2248744;_hypernym;1759182;43;2
12242123;_hypernym;13112664;MISS_681;27
425278;_derivationally_related_form;1803003;1;1
1511706;_derivationally_related_form;104249;1;1
56688;_hypernym;53913;74;13
1946277;_hypernym;1945845;MISS_113;MISS_460
5941210;_derivationally_related_form;701040;1;1
6151693;_derivationally_related_form;10620758;1;1
369864;_derivationally_related_form;5015463;1;2
7047011;_synset_domain_topic_of;7020895;106;1
14980579;_hypernym;14686352;MISS_97;MISS_1017
11804604;_member_meronym;11813309;1;56
824066;_hypernym;826509;1;1
11612349;_hypernym;11608250;MISS_141;MISS_1
1977080;_derivationally_related_form;10019406;1;1
11805837;_hypernym;11573660;3;1
7060167;_hypernym;7059255;MISS_587;MISS_878
4372171;_hypernym;3575958;MISS_150;MISS_1678
154778;_hypernym;153263;17;1
6115701;_derivationally_related_form;10127689;1;1
4576211;_has_part;2764779;MISS_1;MISS_708
6934132;_hypernym;6930934;MISS_107;MISS_878
11704791;_has_part;11705052;MISS_1;MISS_584
9917593;_derivationally_related_form;15147097;1;1
5090441;_derivationally_related_form;434077;1;1
13306870;_derivationally_related_form;2321046;1;1
1466543;_derivationally_related_form;262249;4;7
5133287;_hypernym;5129201;MISS_168;MISS_881
8969291;_derivationally_related_form;3024420;1;1
1400575;_hypernym;8103777;MISS_1557;24
10251779;_hypernym;7846;MISS_3779;13
4294426;_hypernym;2688443;27;10
3386011;_has_part;2811936;MISS_168;MISS_48
2761685;_derivationally_related_form;378479;MISS_1129;4098
686890;_derivationally_related_form;1010118;1;1
4657876;_derivationally_related_form;1076793;1;1
937656;_hypernym;933420;34;10
12202936;_hypernym;13104059;MISS_678;22
2426799;_derivationally_related_form;13944914;1;1
11529603;_member_meronym;11536778;5;34
13951984;_hypernym;13951444;MISS_21;MISS_2052
2496816;_hypernym;2539334;MISS_126;MISS_1697
1296462;_derivationally_related_form;379422;1;1
39021;_hypernym;37396;MISS_556;630
136152;_hypernym;134780;MISS_141;MISS_1
5614657;_hypernym;5614175;MISS_88;MISS_2052
9211735;_instance_hypernym;9403734;238;1
939818;_derivationally_related_form;1707925;1;1
4907269;_hypernym;4616059;MISS_341;653
4071393;_hypernym;3763968;4;9
343730;_synset_domain_topic_of;528667;MISS_149;MISS_131
12501745;_member_meronym;12547658;2;39
828901;_hypernym;962447;MISS_292;483
900070;_derivationally_related_form;836236;1;1
2244956;_also_see;2294436;MISS_53;MISS_332
2529515;_member_meronym;2531820;1;1
4956110;_derivationally_related_form;565592;1;1
946755;_derivationally_related_form;6807198;1;1
13800801;_derivationally_related_form;171127;1;1
11199727;_instance_hypernym;10650162;MISS_398;8
2621901;_derivationally_related_form;5008746;1;1
10682038;_derivationally_related_form;1916634;1;1
1567133;_hypernym;1563128;MISS_190;MISS_1359
12892226;_member_meronym;12904148;3;261
1740969;_derivationally_related_form;918383;1;1
13954253;_derivationally_related_form;43765;1;1
1346003;_derivationally_related_form;3848348;1;1
9165613;_has_part;9483129;3;1
2267826;_hypernym;2263378;MISS_187;373
2134589;_member_meronym;2136623;4;223
6350918;_hypernym;6350274;MISS_88;MISS_1
591115;_derivationally_related_form;5805475;1;1
8740875;_has_part;8745901;15;295
5537806;_hypernym;5220461;MISS_435;13
5505679;_hypernym;5462315;135;113
13999663;_hypernym;13998576;8;3
7242324;_hypernym;7241205;MISS_117;MISS_887
534480;_hypernym;342028;MISS_170;MISS_406
2625016;_derivationally_related_form;50693;1;1
256961;_hypernym;256746;3;9
9460888;_instance_hypernym;9403734;244;3
238867;_verb_group;239321;1;1
3579982;_has_part;4170515;151;MISS_651
6845599;_member_of_domain_usage;3189995;1;6
24649;_derivationally_related_form;3395745;1;1
455599;_hypernym;407535;677;66
1271428;_instance_hypernym;956485;3;1
1741864;_synset_domain_topic_of;916464;3;1
8279298;_hypernym;8284481;MISS_535;MISS_1686
5301908;_derivationally_related_form;941990;1;1
10214637;_derivationally_related_form;1632411;1;1
3650173;_derivationally_related_form;1262113;1;1
2726715;_derivationally_related_form;14365356;1;1
4826235;_hypernym;4846770;2;1
2440705;_member_meronym;2447591;3;223
13148019;_member_meronym;13148384;MISS_115;MISS_485
960734;_derivationally_related_form;13845239;1;1
12995724;_member_meronym;13082077;MISS_142;MISS_193
12464278;_member_meronym;12464476;32;19
265386;_derivationally_related_form;260622;1;1
3673767;_derivationally_related_form;1270784;1;1
6115476;_hypernym;6000400;MISS_875;MISS_900
12195965;_member_meronym;12196129;MISS_198;MISS_298
9190918;_hypernym;7347;MISS_680;826
12099342;_hypernym;13118707;MISS_577;31
12112008;_hypernym;12102133;MISS_169;91
9147046;_has_part;4378842;107;MISS_1272
12373361;_hypernym;11565385;1;1
6883725;_hypernym;4416901;MISS_1;MISS_363
8199025;_member_meronym;10305635;MISS_44;MISS_189
1239064;_derivationally_related_form;2677567;1;1
2390470;_derivationally_related_form;10363913;1;1
2150948;_derivationally_related_form;10576071;1;1
8920924;_has_part;8926543;1;5
1187620;_synset_domain_topic_of;8441203;6;1
12219875;_member_meronym;12220019;MISS_380;MISS_485
464513;_also_see;1430111;1;1
746084;_hypernym;1027508;MISS_405;MISS_882
13478525;_derivationally_related_form;229280;1;1
2259829;_hypernym;761713;2;1
9891470;_derivationally_related_form;2951358;1;1
15022389;_hypernym;15022171;MISS_7;MISS_1014
11627028;_hypernym;11554175;MISS_657;43
14498096;_derivationally_related_form;1269379;1;1
3631445;_hypernym;3106110;MISS_124;874
9851165;_derivationally_related_form;2669081;1;1
2621395;_derivationally_related_form;7092356;1;1
212173;_derivationally_related_form;4683600;1;1
10173895;_hypernym;7846;MISS_3779;4
5613962;_hypernym;5617107;MISS_94;MISS_1673
11551211;_hypernym;8220891;8;1
5060476;_hypernym;5060189;MISS_34;MISS_1454
1605119;_member_meronym;1616970;3;263
13481883;_derivationally_related_form;2762806;1;1
2400760;_derivationally_related_form;10760340;1;1
2674912;_hypernym;2707683;MISS_792;MISS_1
5513807;_has_part;5457469;202;MISS_626
9283623;_hypernym;9225146;5;3
1959927;_synset_domain_topic_of;450335;1;1
2559752;_hypernym;2452885;12;15
396703;_hypernym;394813;1;6
347652;_derivationally_related_form;1898592;1;1
10396462;_hypernym;7846;MISS_3779;MISS_1
493703;_derivationally_related_form;353992;2;3
8950035;_instance_hypernym;8524735;260;1
12192373;_member_meronym;12193458;13;148
940214;_hypernym;126264;MISS_3462;11
2216547;_hypernym;1759182;MISS_1263;3
12445848;_hypernym;11561228;MISS_509;25
588888;_derivationally_related_form;5805475;1;1
633864;_derivationally_related_form;785962;1;1
69166;_hypernym;67999;1;1
2767308;_derivationally_related_form;1253060;1;1
8344301;_hypernym;8342039;490;2
2525866;_member_meronym;2527145;17;115
2067941;_member_meronym;2068408;1;1
13149296;_hypernym;13100677;MISS_311;62
7409592;_derivationally_related_form;2685665;1;1
13463656;_derivationally_related_form;569318;1;1
10216403;_derivationally_related_form;2593354;1;1
755500;_derivationally_related_form;838524;1;1
715074;_hypernym;352826;66;2
2121234;_member_meronym;2125311;1;1
10387196;_derivationally_related_form;4091839;1;1
9101318;_instance_hypernym;8695539;MISS_1083;23
11689197;_hypernym;13135832;MISS_184;223
1998019;_member_meronym;1998183;9;144
8775784;_instance_hypernym;8574314;388;3
1567678;_hypernym;1567133;74;4
2217695;_hypernym;2217266;MISS_72;MISS_1688
2093390;_derivationally_related_form;7439284;1;1
4182890;_hypernym;3895585;MISS_141;MISS_516
2671421;_hypernym;3081021;MISS_271;MISS_2132
238720;_derivationally_related_form;13443787;1;1
6873252;_has_part;6873571;32;105
1353405;_derivationally_related_form;14705718;1;1
5509889;_has_part;5528060;MISS_39;MISS_691
10878672;_instance_hypernym;10625860;MISS_12;MISS_1
1713635;_member_meronym;1713764;MISS_51;MISS_341
471711;_derivationally_related_form;223720;1;1
1835103;_derivationally_related_form;9355850;1;1
11014450;_instance_hypernym;10453533;MISS_445;MISS_1
1107705;_hypernym;1105639;MISS_116;MISS_1
1538469;_hypernym;510364;6;6
1596479;_hypernym;1507175;32;1
1830798;_hypernym;1762528;MISS_141;MISS_1
1004072;_hypernym;383606;MISS_196;732
11629501;_member_meronym;11641788;1;27
11357332;_instance_hypernym;10453533;MISS_445;MISS_1
13205482;_member_meronym;13210827;3;60
5835747;_hypernym;5833840;MISS_301;224
704388;_derivationally_related_form;5784242;1;1
1255057;_derivationally_related_form;691050;1;1
1012712;_derivationally_related_form;739662;1;1
6930934;_hypernym;6904171;MISS_150;148
13583724;_derivationally_related_form;2468793;1;1
6756831;_derivationally_related_form;835506;1;1
10351874;_derivationally_related_form;761713;1;1
1811736;_derivationally_related_form;7528807;1;1
332154;_hypernym;397576;1;2
6890846;_derivationally_related_form;2141973;1;1
8312559;_synset_domain_topic_of;6226057;MISS_358;97
4762355;_hypernym;4760771;1;1
1461328;_derivationally_related_form;378985;1;1
5035961;_derivationally_related_form;559102;1;1
1751021;_hypernym;1675963;7;2
2427726;_derivationally_related_form;10381214;1;1
1828405;_derivationally_related_form;7486922;1;1
13107891;_derivationally_related_form;329495;1;1
10295819;_hypernym;7846;MISS_3779;6
562935;_derivationally_related_form;2557638;1;1
608808;_derivationally_related_form;5833840;1;1
9373716;_instance_hypernym;9411430;4;1
8951077;_instance_hypernym;8524735;260;1
1745722;_derivationally_related_form;4004767;1;1
5536370;_hypernym;5303402;MISS_428;28
2149297;_hypernym;1864707;MISS_1053;19
11350705;_instance_hypernym;10084635;70;29
1921591;_hypernym;1921204;MISS_69;MISS_1
4074329;_hypernym;3129123;26;7
141806;_derivationally_related_form;920336;1;1
2462580;_derivationally_related_form;10760340;1;1
12957467;_hypernym;13167078;2;1
6005518;_hypernym;6004685;44;6
1984695;_hypernym;1982650;MISS_127;MISS_853
7237758;_derivationally_related_form;842538;1;1
1566386;_hypernym;1504437;2;1
2512053;_derivationally_related_form;1140794;1;1
6568978;_derivationally_related_form;1747717;1;1
2578604;_hypernym;1432517;14;1
195617;_verb_group;195342;1;1
1654863;_hypernym;1639765;MISS_168;MISS_1
1028748;_derivationally_related_form;10344774;1;1
12637729;_member_meronym;12641007;1;44
4356056;_has_part;3976268;MISS_3;MISS_25
9044862;_has_part;9105821;1;1
1865197;_also_see;643250;1;1
147862;_derivationally_related_form;1284908;1;1
12400261;_member_meronym;12400924;9;20
1637166;_derivationally_related_form;5786372;1;1
10576223;_hypernym;7846;MISS_3779;MISS_1
1366718;_derivationally_related_form;7527352;1;1
3472232;_derivationally_related_form;99721;1;1
13907415;_derivationally_related_form;1280014;1;1
8096301;_hypernym;8149781;3;2
5477686;_has_part;5477305;99;39
10227985;_derivationally_related_form;6161718;1;1
8792548;_member_of_domain_region;8011523;7;30
2842303;_hypernym;4565963;MISS_683;MISS_883
3738241;_hypernym;4377057;MISS_305;782
3588414;_derivationally_related_form;946105;1;1
815686;_derivationally_related_form;6746005;1;1
824292;_derivationally_related_form;6713187;1;1
9133500;_instance_hypernym;8524735;477;2
2271544;_also_see;646413;1;2
12611479;_hypernym;11556857;MISS_834;17
7083441;_derivationally_related_form;863579;1;1
774056;_derivationally_related_form;9896826;1;1
10034614;_derivationally_related_form;1170052;1;1
2466111;_also_see;1222884;1;1
9113762;_instance_hypernym;8524735;243;1
1572978;_hypernym;1212572;4;1
872886;_derivationally_related_form;9774167;1;1
13023783;_member_meronym;13031690;MISS_462;MISS_537
657016;_derivationally_related_form;1051801;1;1
6252138;_derivationally_related_form;1070102;1;1
8860123;_member_of_domain_region;10513509;1;MISS_2657
11915899;_hypernym;11915214;110;23
3069213;_hypernym;3149951;MISS_165;MISS_902
262249;_derivationally_related_form;1466543;3;3
3791053;_hypernym;4576211;40;7
1705257;_derivationally_related_form;7258664;1;1
5370125;_hypernym;5418717;MISS_277;MISS_1
2470451;_member_meronym;2489288;9;86
5399847;_synset_domain_topic_of;1471682;MISS_393;MISS_148
2036982;_member_meronym;2037110;MISS_62;MISS_634
13658496;_hypernym;13649268;1;1
2552737;_hypernym;1429349;18;1
5204004;_synset_domain_topic_of;8199025;596;1
2538216;_hypernym;2537085;3;2
6154464;_hypernym;6153846;27;1
2198996;_hypernym;1762525;71;2
462092;_derivationally_related_form;89027;1;1
8142170;_hypernym;8348815;13;1
2447793;_derivationally_related_form;1139830;1;1
7605474;_hypernym;7597365;MISS_92;MISS_1
5496990;_has_part;5499379;2;18
10942144;_instance_hypernym;10020890;MISS_397;MISS_1
7152463;_hypernym;7152259;MISS_99;MISS_276
331950;_hypernym;191142;MISS_718;203
1357831;_hypernym;1296462;2;1
306314;_derivationally_related_form;5623181;MISS_320;MISS_4310
8904392;_instance_hypernym;8524735;271;1
14786479;_hypernym;21939;12;1
291873;_derivationally_related_form;8646188;1;1
10460033;_hypernym;10053808;MISS_309;MISS_764
1688589;_hypernym;1687665;1;6
10518194;_hypernym;10435988;114;461
1654271;_derivationally_related_form;768921;1;1
632236;_derivationally_related_form;5893356;1;1
6755776;_hypernym;6755568;MISS_40;MISS_549
573932;_hypernym;126264;534;2
223720;_derivationally_related_form;1327301;1;1
2202928;_derivationally_related_form;818466;1;1
2645007;_derivationally_related_form;33615;1;1
14560360;_hypernym;13920835;MISS_521;41
1012712;_derivationally_related_form;657260;1;1
12201166;_hypernym;11575425;7;1
2113430;_derivationally_related_form;907340;1;1
6148148;_hypernym;6143154;59;61
229026;_hypernym;109660;226;12
11654124;_member_meronym;11654438;8;21
11195619;_instance_hypernym;10301261;2;2
90253;_derivationally_related_form;10511069;1;1
4169437;_has_part;4593866;MISS_21;MISS_63
1920698;_synset_domain_topic_of;523513;9;1
1926311;_also_see;2075049;MISS_28;MISS_317
1179707;_derivationally_related_form;2543181;1;1
11502102;_derivationally_related_form;216216;MISS_1030;MISS_4484
1877204;_hypernym;1850315;747;14
8765460;_instance_hypernym;8633957;15;1
6364329;_hypernym;6362953;MISS_303;351
2541875;_hypernym;1432517;MISS_960;10
13000668;_hypernym;11592146;1;1
8923755;_instance_hypernym;8524735;24;1
8173515;_member_meronym;8761244;1;4
9051235;_has_part;9103943;3;2
2454119;_member_meronym;2455310;17;239
1632103;_derivationally_related_form;5891572;1;1
847683;_hypernym;846509;2;1
725274;_derivationally_related_form;7298154;1;1
336718;_hypernym;126264;1801;2
5520479;_hypernym;5264756;MISS_258;487
1650610;_derivationally_related_form;235435;1;1
2951170;_derivationally_related_form;1422172;1;1
897026;_hypernym;894552;381;5
180770;_hypernym;180413;MISS_52;MISS_1677
9797113;_derivationally_related_form;2565491;1;1
4151581;_hypernym;4014297;MISS_288;907
8023843;_synset_domain_topic_of;759694;643;2
2472012;_member_meronym;2474777;1;2
5055503;_synset_domain_topic_of;17222;MISS_1294;51
14501545;_hypernym;14500908;MISS_147;MISS_1
3318983;_hypernym;4014297;MISS_288;70
832626;_has_part;659349;1;1
1074650;_derivationally_related_form;4654337;1;1
9629752;_derivationally_related_form;1845720;1;1
2140781;_derivationally_related_form;229260;1;1
2566528;_derivationally_related_form;68901;250;MISS_4637
353469;_derivationally_related_form;267855;1;1
6877849;_hypernym;6877078;MISS_109;MISS_1671
12217211;_member_meronym;12217586;MISS_1;MISS_485
1500082;_derivationally_related_form;2818832;1;1
3776460;_hypernym;4467099;MISS_53;MISS_308
6915601;_hypernym;6906439;MISS_211;MISS_1
378042;_hypernym;140123;925;70
12213635;_member_meronym;12216028;1;175
2330582;_member_meronym;2350845;12;91
10985440;_instance_hypernym;9805475;14;4
331082;_derivationally_related_form;3724417;1;1
1989869;_hypernym;1974773;22;4
8244062;_derivationally_related_form;10120085;1;1
6845599;_member_of_domain_usage;3739136;1;384
8816236;_member_meronym;9750891;22;4
11675096;_hypernym;11675842;4;1
1754105;_derivationally_related_form;113113;1;1
9980090;_derivationally_related_form;7049713;1;1
2661252;_hypernym;2666239;10;8
2230782;_member_meronym;2231930;36;120
12514592;_hypernym;13112664;MISS_681;87
521562;_derivationally_related_form;1711445;1;1
2662979;_derivationally_related_form;1203676;1;1
9093608;_instance_hypernym;8655464;1;1
917772;_derivationally_related_form;10102506;1;1
1786419;_hypernym;1785971;MISS_161;MISS_1
7186148;_hypernym;7185325;2;1
4103918;_synset_domain_topic_of;2691156;148;4
6062076;_derivationally_related_form;9919297;1;1
2559862;_hypernym;2554730;MISS_325;60
13722757;_has_part;13722522;12;3
10067968;_hypernym;10215623;MISS_90;MISS_2077
1418037;_synset_domain_topic_of;243918;39;1
8920924;_has_part;8925287;16;46
2501101;_hypernym;1342529;41;1
2092309;_derivationally_related_form;7460104;1;1
6135915;_derivationally_related_form;3002351;1;1
2464626;_has_part;2463205;MISS_384;MISS_347
2037090;_derivationally_related_form;9437454;1;1
1208597;_hypernym;1207609;MISS_452;691
6590885;_synset_domain_topic_of;6677302;2;1
2753255;_derivationally_related_form;331102;1;1
1385017;_hypernym;1384687;MISS_667;MISS_1670
739632;_hypernym;739270;186;62
1358328;_derivationally_related_form;8253450;1;1
9999532;_derivationally_related_form;2253766;1;1
4530566;_has_part;4117216;MISS_43;MISS_666
10347446;_synset_domain_topic_of;8199025;583;1
7752109;_hypernym;7751451;MISS_626;MISS_357
10247880;_hypernym;7846;MISS_3779;MISS_1
2338901;_hypernym;2329401;8;2
1523908;_member_meronym;1584004;2;2
6350127;_derivationally_related_form;10654015;1;1
15278281;_hypernym;15286249;MISS_123;1858
9189411;_has_part;8707917;1;1
344421;_hypernym;331950;MISS_318;652
504901;_hypernym;115157;MISS_770;1020
2163982;_hypernym;1342529;7;1
621734;_derivationally_related_form;5685030;1;1
873603;_also_see;884778;1;1
4889162;_hypernym;4887912;MISS_85;MISS_879
10599806;_derivationally_related_form;1731031;1;1
1822724;_derivationally_related_form;13811900;1;1
8765069;_instance_hypernym;8691669;493;4
8231499;_member_meronym;8078819;MISS_48;MISS_76
188137;_hypernym;187526;1;1
7105475;_member_of_domain_usage;15267945;1;41
1800422;_derivationally_related_form;271263;1;1
3158885;_has_part;3474896;11;1
8179879;_hypernym;7942152;47;12
1880113;_hypernym;1831531;746;18
652346;_derivationally_related_form;5763412;1;1
2690708;_derivationally_related_form;8624196;1;1
2457058;_derivationally_related_form;44900;1;1
1747945;_derivationally_related_form;6678302;1;1
7485475;_derivationally_related_form;1188485;1;1
8760510;_member_meronym;8761244;1;1
13423615;_derivationally_related_form;1254013;1;1
771961;_derivationally_related_form;7246582;1;1
10379620;_derivationally_related_form;1081152;1;1
8955626;_instance_hypernym;8700255;10;1
93979;_hypernym;241689;MISS_84;MISS_1670
8566028;_hypernym;8568978;MISS_140;446
456596;_verb_group;456740;1;1
915830;_hypernym;941990;36;1
14462193;_hypernym;14460565;MISS_276;MISS_1
883226;_derivationally_related_form;10274318;1;1
2023992;_derivationally_related_form;3386011;1;1
1708676;_derivationally_related_form;428270;1;1
12883395;_hypernym;11579418;11;1
8131530;_has_part;8347704;1;2
1400044;_derivationally_related_form;125629;1;1
15145782;_hypernym;15290337;1;1
858377;_hypernym;858188;1;7
306426;_has_part;306900;8;65
1015244;_derivationally_related_form;5823932;1;1
2465693;_derivationally_related_form;2120451;1;1
6951067;_member_of_domain_usage;10589243;6;30
1629589;_hypernym;1617192;368;3
8024096;_synset_domain_topic_of;759694;MISS_1528;MISS_1
264776;_derivationally_related_form;4860586;1;1
14598079;_derivationally_related_form;1539633;1;1
1831308;_derivationally_related_form;5685030;1;1
164999;_hypernym;163779;13;1
13566535;_derivationally_related_form;376106;1;1
635794;_derivationally_related_form;575365;1;1
395333;_derivationally_related_form;2350175;1;1
12423565;_member_meronym;12459471;1;16
7619881;_hypernym;7566340;MISS_200;MISS_1
1753488;_hypernym;1752165;MISS_124;MISS_537
10820790;_instance_hypernym;10705615;2;2
6142118;_hypernym;5999797;302;14
15037339;_has_part;15037664;6;2
6013584;_synset_domain_topic_of;6000644;28;1
7185325;_derivationally_related_form;753428;1;1
10771270;_derivationally_related_form;1041415;1;1
2163183;_hypernym;2162947;MISS_41;MISS_1672
710005;_hypernym;704690;MISS_174;621
11217479;_instance_hypernym;10794014;MISS_405;MISS_1
7039056;_derivationally_related_form;1707495;1;1
1292885;_derivationally_related_form;4613158;1;1
12423565;_member_meronym;12473011;1;20
2108026;_hypernym;2108377;7;2
5514272;_hypernym;5514081;MISS_107;MISS_1
11835451;_hypernym;11573660;5;1
6180720;_hypernym;5870916;MISS_136;MISS_358
